# TimeStamp(s) Sum Stdev
0 1.76846e+07 0
10 1.65042e+07 0
20 1.67077e+07 0
30 1.67438e+07 0
40 1.67568e+07 0
50 1.66837e+07 0
60 1.68355e+07 0
70 1.67995e+07 0
80 1.67707e+07 0
90 1.6807e+07 0
100 1.66548e+07 0
110 1.65914e+07 0
120 1.6501e+07 0
130 1.65581e+07 0
140 1.65442e+07 0
150 1.64159e+07 0
160 1.63006e+07 0
170 1.64102e+07 0
180 1.65186e+07 0
190 1.71648e+07 0
200 1.69198e+07 0
210 1.69268e+07 0
220 1.68928e+07 0
230 1.67421e+07 0
240 1.69732e+07 0
250 1.70373e+07 0
260 1.68447e+07 0
270 1.67045e+07 0
280 1.68304e+07 0
290 1.66266e+07 0
