# TimeStamp(s) Sum Stdev
0 4.4369e+07 0
10 4.70367e+07 0
20 4.70285e+07 0
30 4.83958e+07 0
40 4.89955e+07 0
50 4.78157e+07 0
60 4.8301e+07 0
70 4.74025e+07 0
80 4.69461e+07 0
90 4.74015e+07 0
100 4.7419e+07 0
110 4.7655e+07 0
120 4.66977e+07 0
130 4.80156e+07 0
140 4.66132e+07 0
150 4.65669e+07 0
160 4.67348e+07 0
170 4.67946e+07 0
180 4.73759e+07 0
190 4.65291e+07 0
200 4.88482e+07 0
210 4.78672e+07 0
220 4.70965e+07 0
230 4.75756e+07 0
240 4.91624e+07 0
250 4.86365e+07 0
260 4.8098e+07 0
270 4.7147e+07 0
280 4.63268e+07 0
290 4.69193e+07 0
