# TimeStamp(s) Sum Stdev
0 1.76951e+07 0
10 1.78125e+07 0
20 1.76732e+07 0
30 1.75518e+07 0
40 1.76146e+07 0
50 1.77903e+07 0
60 1.78161e+07 0
70 1.7648e+07 0
80 1.76876e+07 0
90 1.75914e+07 0
100 1.75588e+07 0
110 1.75989e+07 0
120 1.76071e+07 0
130 1.77365e+07 0
140 1.80279e+07 0
150 1.79401e+07 0
160 1.79847e+07 0
170 1.80387e+07 0
180 1.81152e+07 0
190 1.79782e+07 0
200 1.80677e+07 0
210 1.79762e+07 0
220 1.78522e+07 0
230 1.82369e+07 0
240 1.81358e+07 0
250 1.80472e+07 0
260 1.81566e+07 0
270 1.81211e+07 0
280 1.79928e+07 0
290 1.82355e+07 0
