# TimeStamp(s) Sum Stdev
1 17.8 0
2 16.8 0
3 19.2 0
4 18.7 0
5 26.9 0
6 20.6 0
7 13.1 0
8 16.6 0
9 14.7 0
10 17.5 0
11 17.2 0
12 20.7 0
13 18.3 0
14 16.7 0
15 14.5 0
16 17.6 0
17 20.6 0
18 18.6 0
19 16.6 0
20 20.6 0
21 18.6 0
22 16.6 0
23 14.6 0
24 12.7 0
25 20.5 0
26 18.8 0
27 22.6 0
28 25.6 0
29 18.8 0
30 17.5 0
31 25.7 0
32 18.5 0
33 16.5 0
34 25 0
35 18.6 0
36 16.9 0
37 15.7 0
38 18.4 0
39 17 0
40 15.3 0
41 18.9 0
42 17.7 0
43 15.5 0
44 18.7 0
45 16.5 0
46 19.9 0
47 18.8 0
48 16.6 0
49 19.7 0
50 27.6 0
51 15.7 0
52 18.2 0
53 16.8 0
54 19.6 0
55 18.5 0
56 26.7 0
57 21.3 0
58 14.2 0
59 19 0
60 17.2 0
