PING 100.100.100.10 (100.100.100.10) 56(84) bytes of data.
64 bytes from 100.100.100.10: icmp_seq=1 ttl=61 time=18.0 ms
64 bytes from 100.100.100.10: icmp_seq=2 ttl=61 time=26.6 ms
64 bytes from 100.100.100.10: icmp_seq=3 ttl=61 time=19.8 ms
64 bytes from 100.100.100.10: icmp_seq=4 ttl=61 time=17.7 ms
64 bytes from 100.100.100.10: icmp_seq=5 ttl=61 time=30.5 ms
64 bytes from 100.100.100.10: icmp_seq=6 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=7 ttl=61 time=16.7 ms
64 bytes from 100.100.100.10: icmp_seq=8 ttl=61 time=29.7 ms
64 bytes from 100.100.100.10: icmp_seq=9 ttl=61 time=23.7 ms
64 bytes from 100.100.100.10: icmp_seq=10 ttl=61 time=16.7 ms
64 bytes from 100.100.100.10: icmp_seq=11 ttl=61 time=24.8 ms
64 bytes from 100.100.100.10: icmp_seq=12 ttl=61 time=27.9 ms
64 bytes from 100.100.100.10: icmp_seq=13 ttl=61 time=16.7 ms
64 bytes from 100.100.100.10: icmp_seq=14 ttl=61 time=19.7 ms
64 bytes from 100.100.100.10: icmp_seq=15 ttl=61 time=17.7 ms
64 bytes from 100.100.100.10: icmp_seq=16 ttl=61 time=15.5 ms
64 bytes from 100.100.100.10: icmp_seq=17 ttl=61 time=19.6 ms
64 bytes from 100.100.100.10: icmp_seq=18 ttl=61 time=12.5 ms
64 bytes from 100.100.100.10: icmp_seq=19 ttl=61 time=16.6 ms
64 bytes from 100.100.100.10: icmp_seq=20 ttl=61 time=14.5 ms
64 bytes from 100.100.100.10: icmp_seq=21 ttl=61 time=18.1 ms
64 bytes from 100.100.100.10: icmp_seq=22 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=23 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=24 ttl=61 time=13.5 ms
64 bytes from 100.100.100.10: icmp_seq=25 ttl=61 time=16.6 ms
64 bytes from 100.100.100.10: icmp_seq=26 ttl=61 time=14.8 ms
64 bytes from 100.100.100.10: icmp_seq=27 ttl=61 time=19.6 ms
64 bytes from 100.100.100.10: icmp_seq=28 ttl=61 time=12.5 ms
64 bytes from 100.100.100.10: icmp_seq=29 ttl=61 time=21.0 ms
64 bytes from 100.100.100.10: icmp_seq=30 ttl=61 time=19.8 ms
64 bytes from 100.100.100.10: icmp_seq=31 ttl=61 time=18.2 ms
64 bytes from 100.100.100.10: icmp_seq=32 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=33 ttl=61 time=19.8 ms
64 bytes from 100.100.100.10: icmp_seq=34 ttl=61 time=18.2 ms
64 bytes from 100.100.100.10: icmp_seq=35 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=36 ttl=61 time=25.8 ms
64 bytes from 100.100.100.10: icmp_seq=37 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=38 ttl=61 time=17.9 ms
64 bytes from 100.100.100.10: icmp_seq=39 ttl=61 time=16.5 ms
64 bytes from 100.100.100.10: icmp_seq=40 ttl=61 time=20.3 ms
64 bytes from 100.100.100.10: icmp_seq=41 ttl=61 time=18.4 ms
64 bytes from 100.100.100.10: icmp_seq=42 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=43 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=44 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=45 ttl=61 time=13.2 ms
64 bytes from 100.100.100.10: icmp_seq=46 ttl=61 time=17.0 ms
64 bytes from 100.100.100.10: icmp_seq=47 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=48 ttl=61 time=20.3 ms
64 bytes from 100.100.100.10: icmp_seq=49 ttl=61 time=19.5 ms
64 bytes from 100.100.100.10: icmp_seq=50 ttl=61 time=22.4 ms
64 bytes from 100.100.100.10: icmp_seq=51 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=52 ttl=61 time=14.5 ms
64 bytes from 100.100.100.10: icmp_seq=53 ttl=61 time=18.0 ms
64 bytes from 100.100.100.10: icmp_seq=54 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=55 ttl=61 time=16.2 ms
64 bytes from 100.100.100.10: icmp_seq=56 ttl=61 time=20.0 ms
64 bytes from 100.100.100.10: icmp_seq=57 ttl=61 time=18.6 ms
64 bytes from 100.100.100.10: icmp_seq=58 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=59 ttl=61 time=20.8 ms
64 bytes from 100.100.100.10: icmp_seq=60 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=61 ttl=61 time=17.9 ms
64 bytes from 100.100.100.10: icmp_seq=62 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=63 ttl=61 time=20.8 ms
64 bytes from 100.100.100.10: icmp_seq=64 ttl=61 time=18.9 ms
64 bytes from 100.100.100.10: icmp_seq=65 ttl=61 time=18.6 ms
64 bytes from 100.100.100.10: icmp_seq=66 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=67 ttl=61 time=15.3 ms
64 bytes from 100.100.100.10: icmp_seq=68 ttl=61 time=19.4 ms
64 bytes from 100.100.100.10: icmp_seq=69 ttl=61 time=12.9 ms
64 bytes from 100.100.100.10: icmp_seq=70 ttl=61 time=12.0 ms
64 bytes from 100.100.100.10: icmp_seq=71 ttl=61 time=16.0 ms
64 bytes from 100.100.100.10: icmp_seq=72 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=73 ttl=61 time=18.5 ms
64 bytes from 100.100.100.10: icmp_seq=74 ttl=61 time=17.4 ms
64 bytes from 100.100.100.10: icmp_seq=75 ttl=61 time=25.9 ms
64 bytes from 100.100.100.10: icmp_seq=76 ttl=61 time=24.9 ms
64 bytes from 100.100.100.10: icmp_seq=77 ttl=61 time=13.6 ms
64 bytes from 100.100.100.10: icmp_seq=78 ttl=61 time=17.5 ms
64 bytes from 100.100.100.10: icmp_seq=79 ttl=61 time=15.8 ms
64 bytes from 100.100.100.10: icmp_seq=80 ttl=61 time=25.0 ms
64 bytes from 100.100.100.10: icmp_seq=81 ttl=61 time=34.4 ms
64 bytes from 100.100.100.10: icmp_seq=82 ttl=61 time=17.5 ms
64 bytes from 100.100.100.10: icmp_seq=83 ttl=61 time=16.1 ms
64 bytes from 100.100.100.10: icmp_seq=84 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=85 ttl=61 time=14.1 ms
64 bytes from 100.100.100.10: icmp_seq=86 ttl=61 time=13.0 ms
64 bytes from 100.100.100.10: icmp_seq=87 ttl=61 time=27.3 ms
64 bytes from 100.100.100.10: icmp_seq=88 ttl=61 time=16.0 ms
64 bytes from 100.100.100.10: icmp_seq=89 ttl=61 time=20.4 ms
64 bytes from 100.100.100.10: icmp_seq=90 ttl=61 time=14.0 ms
64 bytes from 100.100.100.10: icmp_seq=91 ttl=61 time=18.4 ms
64 bytes from 100.100.100.10: icmp_seq=92 ttl=61 time=22.0 ms
64 bytes from 100.100.100.10: icmp_seq=93 ttl=61 time=21.1 ms
64 bytes from 100.100.100.10: icmp_seq=94 ttl=61 time=19.6 ms
64 bytes from 100.100.100.10: icmp_seq=95 ttl=61 time=18.7 ms
64 bytes from 100.100.100.10: icmp_seq=96 ttl=61 time=16.6 ms
64 bytes from 100.100.100.10: icmp_seq=97 ttl=61 time=15.7 ms
64 bytes from 100.100.100.10: icmp_seq=98 ttl=61 time=19.0 ms
64 bytes from 100.100.100.10: icmp_seq=99 ttl=61 time=20.3 ms
64 bytes from 100.100.100.10: icmp_seq=100 ttl=61 time=17.0 ms
64 bytes from 100.100.100.10: icmp_seq=101 ttl=61 time=16.0 ms
64 bytes from 100.100.100.10: icmp_seq=102 ttl=61 time=20.0 ms
64 bytes from 100.100.100.10: icmp_seq=103 ttl=61 time=19.1 ms
64 bytes from 100.100.100.10: icmp_seq=104 ttl=61 time=17.6 ms
64 bytes from 100.100.100.10: icmp_seq=105 ttl=61 time=16.4 ms
64 bytes from 100.100.100.10: icmp_seq=106 ttl=61 time=19.7 ms
64 bytes from 100.100.100.10: icmp_seq=107 ttl=61 time=23.2 ms
64 bytes from 100.100.100.10: icmp_seq=108 ttl=61 time=17.1 ms
64 bytes from 100.100.100.10: icmp_seq=109 ttl=61 time=26.4 ms
64 bytes from 100.100.100.10: icmp_seq=110 ttl=61 time=20.1 ms
64 bytes from 100.100.100.10: icmp_seq=111 ttl=61 time=13.9 ms
64 bytes from 100.100.100.10: icmp_seq=112 ttl=61 time=13.1 ms
64 bytes from 100.100.100.10: icmp_seq=113 ttl=61 time=17.2 ms
64 bytes from 100.100.100.10: icmp_seq=114 ttl=61 time=16.1 ms
64 bytes from 100.100.100.10: icmp_seq=115 ttl=61 time=20.4 ms
