# TimeStamp(s) Sum Stdev
1 13.1 0
2 16.8 0
3 19.7 0
4 18.5 0
5 16.6 0
6 25.7 0
7 18.6 0
8 20.7 0
9 18.6 0
10 16.7 0
11 20.4 0
12 18.9 0
13 13.6 0
14 20.9 0
15 19.4 0
16 17.7 0
17 20.6 0
18 28.7 0
19 22.7 0
20 15.6 0
21 13.8 0
22 16.6 0
23 14.7 0
24 16.5 0
25 21 0
26 14.5 0
27 12.6 0
28 25.9 0
29 18.6 0
30 17.7 0
31 19.6 0
32 17.7 0
33 20.7 0
34 28.7 0
35 26.6 0
36 20.7 0
37 13.5 0
38 20.7 0
39 18.8 0
40 23.6 0
41 20.6 0
42 18.7 0
43 27 0
44 16.5 0
45 28.5 0
46 16.9 0
47 20.5 0
48 19 0
49 17.6 0
50 20.6 0
51 18.6 0
52 16.7 0
53 19.6 0
54 17.9 0
55 16.4 0
56 19.8 0
57 18.4 0
58 16.7 0
59 19.8 0
60 18.9 0
