# TimeStamp(s) Sum Stdev
1 37.3 0
2 35.7 0
3 33.6 0
4 46.5 0
5 39.4 0
6 42.6 0
7 45.6 0
8 33.4 0
9 31.6 0
10 34.6 0
11 37.6 0
12 45.4 0
13 30.6 0
14 36.4 0
15 39.5 0
16 37.5 0
17 35.2 0
18 33.8 0
19 31.4 0
20 39.3 0
21 32.8 0
22 35.4 0
23 40.6 0
24 56.5 0
25 39.5 0
26 42.4 0
27 50.5 0
28 38.4 0
29 41.1 0
30 45.7 0
31 37.6 0
32 35.3 0
33 45.5 0
34 36.3 0
35 44.7 0
36 32.5 0
37 45.5 0
38 38.5 0
39 41.5 0
40 49.5 0
41 37.5 0
42 47.6 0
43 33.4 0
44 46.4 0
45 31.5 0
46 32.4 0
47 37.7 0
48 35.5 0
49 38.5 0
50 36.5 0
51 37.4 0
52 40.4 0
53 35.7 0
54 38.5 0
55 39.3 0
56 32.8 0
57 40.4 0
58 33.4 0
59 48.9 0
60 44.7 0
61 63.2 0
62 41.6 0
63 39.4 0
64 49.8 0
65 37.6 0
66 38.2 0
67 31.5 0
68 43.9 0
69 35.3 0
70 43.4 0
71 29.2 0
72 37.4 0
73 40.5 0
74 43.5 0
75 36.5 0
76 29.4 0
77 29.9 0
78 30.5 0
79 34 0
80 37.5 0
81 35.2 0
82 53.3 0
83 46.9 0
84 40.7 0
85 38.4 0
86 38 0
87 39.9 0
88 48.5 0
89 56.6 0
90 54.2 0
91 42.6 0
92 35.6 0
93 33.5 0
94 33.5 0
95 39.6 0
96 42.6 0
97 40.6 0
98 33.6 0
99 33.5 0
100 36.4 0
101 37.8 0
102 32.6 0
103 38.6 0
104 36.6 0
105 49.5 0
106 37.6 0
107 40.6 0
108 38.6 0
109 51.7 0
110 29.1 0
111 34.9 0
112 31.6 0
113 29.3 0
114 37.7 0
115 35.5 0
116 35.6 0
117 36.6 0
118 39.5 0
119 37.5 0
120 35.8 0
121 33.6 0
122 36.2 0
123 39.7 0
124 37.5 0
125 35.9 0
126 39.6 0
127 37.1 0
128 35.6 0
129 38.5 0
130 37 0
131 45.5 0
132 33 0
133 37 0
134 35.4 0
135 33.7 0
136 35.9 0
137 45.1 0
138 33.4 0
139 36.5 0
140 39.1 0
141 32.6 0
142 45.9 0
143 39.6 0
144 41.9 0
145 36.1 0
146 44.5 0
147 32 0
148 46.1 0
149 49.6 0
150 37 0
151 36 0
152 39.6 0
153 34.8 0
154 47.5 0
155 48.1 0
156 33.4 0
157 35.1 0
158 38.6 0
159 36.6 0
160 34.5 0
161 37.1 0
162 32.5 0
163 39.7 0
164 48.4 0
165 35.3 0
166 32.6 0
167 33.5 0
168 32.4 0
169 36.9 0
170 31.3 0
171 35.2 0
172 34.2 0
173 30.5 0
174 37.8 0
175 41.4 0
176 55.9 0
177 32.1 0
178 29.6 0
179 33.5 0
180 32.5 0
181 41.2 0
182 40.7 0
183 39.8 0
184 38.7 0
185 42.7 0
186 36.2 0
187 35.3 0
188 39.5 0
189 33.4 0
190 37.4 0
191 46.6 0
192 42.4 0
193 34.6 0
194 38.4 0
195 52.5 0
196 36.5 0
197 32.3 0
198 34.6 0
199 43.5 0
200 32.5 0
201 41.3 0
202 35.8 0
203 31.4 0
204 44.2 0
205 35.8 0
206 39.6 0
207 37.8 0
208 31.6 0
209 29.2 0
210 38 0
211 37.2 0
212 36.5 0
213 49.5 0
214 38 0
215 36.3 0
216 35 0
217 38.2 0
218 36.9 0
219 36.8 0
220 43.1 0
221 36.2 0
222 45 0
223 35 0
224 37 0
225 40.5 0
226 33.5 0
227 41.5 0
228 39.6 0
229 37.5 0
230 35.6 0
231 53.5 0
232 41 0
233 36.4 0
234 38 0
235 36 0
236 50 0
237 48.5 0
238 36.1 0
239 40.1 0
240 38.6 0
241 36.7 0
242 34.5 0
243 42.4 0
244 37.7 0
245 35.5 0
246 46.2 0
247 34.6 0
248 44.6 0
249 36.8 0
250 39 0
251 33.9 0
252 43.1 0
253 31.5 0
254 31.8 0
255 33 0
256 49.4 0
257 32.4 0
258 40.5 0
259 39.9 0
260 31.9 0
261 36.9 0
262 34.1 0
263 47.3 0
264 45.5 0
265 40.6 0
266 31.4 0
267 39.4 0
268 27.5 0
269 30.6 0
270 33.4 0
271 36 0
272 34.9 0
273 38.5 0
274 38 0
275 32.4 0
276 44.5 0
277 31 0
278 39.4 0
279 37.8 0
280 47 0
281 43.9 0
282 42.2 0
283 40.3 0
284 38.7 0
285 31.3 0
286 34.6 0
287 32.4 0
288 40.5 0
289 38.5 0
290 36.5 0
291 31.4 0
292 42.5 0
293 35.4 0
294 43.7 0
295 28.4 0
296 49.5 0
297 32.4 0
298 40.5 0
299 38.5 0
300 41.4 0
301 39.6 0
302 52.5 0
303 37.5 0
304 38.6 0
305 41.4 0
306 34.3 0
307 39.7 0
308 40.6 0
309 30.4 0
310 41.3 0
311 34.6 0
312 32.4 0
313 30.8 0
314 38.5 0
315 36.4 0
316 34.6 0
317 32.5 0
318 35.5 0
319 38.4 0
320 31.5 0
321 44.4 0
322 32.5 0
323 40.5 0
324 38.5 0
325 46.4 0
326 34.6 0
327 32.7 0
328 35.5 0
329 35.5 0
330 41.4 0
331 34.3 0
332 32.6 0
333 39.9 0
334 39 0
335 34.5 0
336 35.5 0
337 33.5 0
338 31.5 0
339 39.4 0
340 32.1 0
341 40.8 0
342 36.7 0
343 47.2 0
344 42.6 0
345 38.3 0
346 43.6 0
347 61.2 0
348 33.1 0
349 46.4 0
350 39.1 0
351 38.2 0
352 31.7 0
353 44.5 0
354 32.6 0
355 45.4 0
356 39.5 0
357 29.9 0
358 41.3 0
359 49.5 0
360 42.6 0
361 35.5 0
362 33.5 0
363 46.3 0
364 32.2 0
365 43.2 0
366 46.5 0
367 29.1 0
368 29.5 0
369 38.5 0
370 34.1 0
371 37.5 0
372 50.5 0
373 35.7 0
374 62 0
375 31.3 0
376 39.5 0
377 39.1 0
378 40.5 0
379 34 0
380 33.8 0
381 39.6 0
