# TimeStamp(s) Sum Stdev
1 47.7 0
2 37.7 0
3 36.7 0
4 35.5 0
5 36.8 0
6 43.9 0
7 33.7 0
8 37.6 0
9 36.9 0
10 42.4 0
11 31.4 0
12 30.8 0
13 43 0
14 36 0
15 51 0
16 55.5 0
17 40.4 0
18 41 0
19 34.4 0
20 33.7 0
21 37.9 0
22 32.7 0
23 33.7 0
24 41.3 0
25 40.2 0
26 35.7 0
27 32 0
28 32.5 0
29 40.4 0
30 45.4 0
31 34.7 0
32 39.2 0
33 31.3 0
34 38.8 0
35 40.6 0
36 35.2 0
37 37.9 0
38 39.9 0
39 32.3 0
40 28.7 0
41 41.2 0
42 46.2 0
43 35 0
44 32.3 0
45 31.5 0
46 35.5 0
47 38 0
48 43.6 0
49 29.9 0
50 32.3 0
51 37 0
52 36.6 0
53 33.1 0
54 43.1 0
55 33.2 0
56 41.1 0
57 45.2 0
58 33.3 0
59 35.1 0
60 42 0
61 35 0
62 35.5 0
63 32.1 0
64 45 0
65 36.1 0
66 55 0
67 39.8 0
68 39.1 0
69 40.5 0
70 39 0
71 38.6 0
72 33 0
73 34.5 0
74 33.6 0
75 35.6 0
76 45.5 0
77 39.7 0
78 39.4 0
79 33 0
80 37.5 0
81 42.9 0
82 36.6 0
83 32.7 0
84 36.3 0
85 31.5 0
86 40 0
87 36.8 0
88 35.5 0
89 38.4 0
90 34.7 0
91 35.8 0
92 34.4 0
93 32.9 0
94 29.4 0
95 35.3 0
96 35.9 0
97 47.4 0
98 28.8 0
99 39.8 0
100 36.7 0
101 37.4 0
102 36.9 0
103 36.3 0
104 35.9 0
105 44.6 0
106 37.7 0
107 32.6 0
108 44.6 0
109 35.7 0
110 34.5 0
111 32.7 0
112 39.1 0
113 42.7 0
114 31 0
115 32.2 0
116 30.6 0
117 32.7 0
118 36.7 0
119 35.6 0
120 29.2 0
121 33.1 0
122 42.2 0
123 40.9 0
124 30.8 0
125 31.8 0
126 32.6 0
127 40.2 0
128 35.1 0
129 34.2 0
130 28.6 0
131 33.9 0
132 46.5 0
133 34.7 0
134 45.9 0
135 29.7 0
136 40.6 0
137 48.6 0
138 47.7 0
139 48.5 0
140 39.6 0
141 32.9 0
142 37.2 0
143 36.2 0
144 40.2 0
145 39.2 0
146 32.4 0
147 36.1 0
148 40.7 0
149 33.6 0
150 37.2 0
151 41.3 0
152 33.1 0
153 39 0
154 38.8 0
155 32.2 0
156 45.9 0
157 39.6 0
158 48.7 0
159 54 0
160 32.6 0
161 33.5 0
162 36.2 0
163 50.3 0
164 38.1 0
165 32.2 0
166 45.9 0
167 39.2 0
168 47.6 0
169 42.5 0
170 38.7 0
171 36.9 0
172 37.6 0
173 35.9 0
174 37.5 0
175 35.9 0
176 34.9 0
177 38.7 0
178 31.5 0
179 39.7 0
180 37.5 0
181 35.8 0
182 35.7 0
183 33.9 0
184 36.4 0
185 39.9 0
186 39 0
187 32.4 0
188 40.8 0
189 38.4 0
190 36.8 0
191 41.1 0
192 39.4 0
193 43.2 0
194 43.6 0
195 34.7 0
196 53.4 0
197 51.6 0
198 39.4 0
199 35.8 0
200 37 0
201 32.7 0
202 34 0
203 33 0
204 38.2 0
205 37 0
206 34.5 0
207 32.8 0
208 46.6 0
209 40.4 0
210 33.6 0
211 41.9 0
212 40.1 0
213 44.5 0
214 34.7 0
215 36.1 0
216 30.2 0
217 36.1 0
218 29.7 0
219 40.9 0
220 39.6 0
221 32.7 0
222 35.6 0
223 34.5 0
224 42.6 0
225 38.2 0
226 45 0
227 34.1 0
228 37.6 0
229 35.6 0
230 35.8 0
231 37 0
232 40.6 0
233 39.1 0
234 37.7 0
235 36.1 0
236 42.3 0
237 29.9 0
238 47.2 0
239 45.7 0
240 45.9 0
241 37.8 0
242 45.6 0
243 33.3 0
244 36.6 0
245 35.6 0
246 54.3 0
247 37.6 0
248 35.6 0
249 28.6 0
250 31.7 0
251 35.3 0
252 43.2 0
253 36.7 0
254 34.6 0
255 33.1 0
256 31.7 0
257 34.1 0
258 38.1 0
259 36.7 0
260 29.7 0
261 38.4 0
262 41.1 0
263 35.1 0
264 38.7 0
265 32.2 0
266 32.2 0
267 33.7 0
268 31.8 0
269 41.8 0
270 38.8 0
271 36.7 0
272 34.8 0
273 35.3 0
274 41.8 0
275 39.7 0
276 37.8 0
277 35.6 0
278 39 0
279 29.9 0
280 33.9 0
281 33.1 0
282 39.6 0
283 37.8 0
284 35.6 0
285 28.9 0
286 37.8 0
287 32.6 0
288 33.6 0
289 36.6 0
290 39.9 0
291 30.7 0
292 36.7 0
293 42.4 0
294 38.4 0
295 37.1 0
296 27.6 0
297 43.4 0
298 47.3 0
299 37.3 0
300 35.9 0
301 43.4 0
302 31.3 0
303 42.1 0
304 35.8 0
305 33.9 0
306 33.4 0
307 41.7 0
308 32.5 0
309 38.1 0
310 39.9 0
311 38.4 0
312 34.1 0
313 36.5 0
314 36.3 0
315 38.3 0
316 36.9 0
317 32.7 0
318 34 0
319 29.8 0
320 43 0
321 35.5 0
322 43.7 0
323 41.9 0
324 40.7 0
325 29.5 0
326 40.2 0
327 36.1 0
328 45.1 0
329 40.9 0
330 37.1 0
331 28.7 0
332 54.6 0
333 37.8 0
334 35.7 0
335 38.7 0
336 36.6 0
337 30.2 0
338 39.1 0
339 27.8 0
340 43.1 0
341 32.1 0
342 38.5 0
343 32 0
344 35.8 0
345 34.6 0
346 43.1 0
347 36.9 0
348 35.1 0
349 44.3 0
350 33.1 0
351 36.5 0
352 35.2 0
353 34.7 0
354 37.8 0
355 38.5 0
356 35.2 0
357 34.3 0
358 37.5 0
359 32.8 0
360 31.5 0
361 33.7 0
362 37.1 0
363 37.5 0
364 30.9 0
365 33.2 0
366 37.2 0
367 40.8 0
368 40.2 0
369 35.7 0
370 41.6 0
371 35 0
372 38.8 0
373 41.6 0
374 34.8 0
375 43.1 0
376 47.3 0
377 45.8 0
378 40.1 0
379 41.1 0
380 37.7 0
381 36.1 0
382 34.9 0
383 49.2 0
384 32.9 0
385 42.4 0
386 36.3 0
387 39.7 0
388 38.5 0
389 34 0
390 40.5 0
391 36.1 0
392 47.7 0
393 35.6 0
394 31 0
395 37.8 0
396 41 0
397 35.2 0
398 29.3 0
399 28 0
400 33.7 0
401 35.5 0
402 43.8 0
403 37.2 0
404 35.6 0
405 39.1 0
406 37.9 0
407 42.4 0
408 41.4 0
409 35 0
410 38.8 0
411 37.3 0
412 35.8 0
413 29.4 0
414 43 0
415 47.3 0
416 36.4 0
417 35 0
418 36.5 0
419 37.5 0
420 35.4 0
421 42.1 0
422 35.8 0
423 38.2 0
424 37.1 0
425 40.1 0
426 34.4 0
427 28.1 0
428 37.8 0
429 45.6 0
430 33.9 0
431 31 0
432 37.7 0
433 40.2 0
434 39.5 0
435 53.4 0
436 36.2 0
437 31.9 0
438 45 0
439 49.1 0
440 47.5 0
441 38.4 0
442 34.6 0
443 43.4 0
444 36.6 0
445 33.3 0
446 30.1 0
447 31.4 0
448 29.5 0
449 34 0
450 35.1 0
451 34 0
452 40.8 0
453 47.2 0
454 40.7 0
455 34.8 0
456 33.1 0
457 45 0
458 37 0
459 36.1 0
460 35 0
461 40.8 0
462 29.8 0
463 33 0
464 40.2 0
465 38.6 0
466 36.7 0
467 40.1 0
468 39.2 0
469 38.1 0
470 37 0
471 36.4 0
472 31.9 0
473 29.3 0
474 38.2 0
475 37.2 0
476 36.5 0
477 35.2 0
478 39.2 0
479 30.2 0
480 44 0
481 30.6 0
482 31 0
483 43 0
484 37.4 0
485 36.1 0
486 40.6 0
487 35.7 0
488 37.2 0
489 33.2 0
490 32.1 0
491 54.5 0
492 33.1 0
493 37.2 0
494 36.2 0
495 40 0
496 34.9 0
497 31.1 0
498 38.2 0
499 47.2 0
500 36 0
501 49.3 0
502 48.5 0
503 41.7 0
504 40.2 0
505 34.2 0
506 33.7 0
507 36.7 0
508 37.1 0
509 31.7 0
510 30.1 0
511 32.6 0
512 55.6 0
513 36.2 0
514 33.2 0
515 32.2 0
516 36.7 0
517 40.2 0
518 31.4 0
519 32.6 0
520 51.2 0
521 39.1 0
522 38.6 0
523 33.8 0
524 32.3 0
525 34.1 0
526 30.2 0
527 32 0
528 33.5 0
529 39.5 0
530 30.4 0
531 42.5 0
532 36.2 0
533 35.3 0
534 34.3 0
535 32.8 0
536 40.6 0
537 34.2 0
538 37.4 0
539 33.4 0
540 34.5 0
541 30.4 0
542 36.9 0
543 35.9 0
544 45.8 0
545 44.8 0
546 32.7 0
547 36.3 0
548 39.8 0
549 35 0
550 36.9 0
551 40.9 0
552 42.7 0
553 38.4 0
554 42.9 0
555 31.2 0
556 35.1 0
557 34.3 0
558 32.8 0
559 36.3 0
560 40.2 0
561 38.3 0
562 34.3 0
563 41.4 0
564 40.4 0
565 38.6 0
566 31.7 0
567 44.9 0
568 38.8 0
569 47.4 0
570 33.2 0
571 34.7 0
572 35.4 0
573 47.4 0
574 31.4 0
575 39.6 0
576 42.7 0
577 45.7 0
578 40.9 0
579 43.4 0
580 44.4 0
581 32.9 0
582 32.4 0
583 38.8 0
584 32.7 0
585 30.6 0
586 33.6 0
587 36.9 0
588 35.6 0
589 39.2 0
590 33.7 0
591 36.7 0
592 47.4 0
593 35.9 0
594 33.5 0
595 44.5 0
596 37.7 0
597 38.8 0
598 52.3 0
599 46.4 0
600 35 0
