# TimeStamp(s) Sum Stdev
0 6.68744e+06 0
11 6.92839e+06 0
20 7.41839e+06 0
31 7.23305e+06 0
40 7.79487e+06 0
50 6.34748e+06 0
60 8.68161e+06 0
70 7.40218e+06 0
80 7.33615e+06 0
91 6.32023e+06 0
100 7.65123e+06 0
110 7.19598e+06 0
120 6.47198e+06 0
130 8.24317e+06 0
140 6.30401e+06 0
150 7.45894e+06 0
160 7.49137e+06 0
170 7.62111e+06 0
182 7.07958e+06 0
190 7.76763e+06 0
200 7.40565e+06 0
210 7.56898e+06 0
220 7.45083e+06 0
230 7.36279e+06 0
240 7.36047e+06 0
250 6.66543e+06 0
260 8.34511e+06 0
270 7.46125e+06 0
280 7.4126e+06 0
290 7.28865e+06 0
300 7.39059e+06 0
310 7.46357e+06 0
320 7.35468e+06 0
330 7.80182e+06 0
340 7.58173e+06 0
350 7.3014e+06 0
360 7.75317e+06 0
370 7.21452e+06 0
380 7.6188e+06 0
390 7.39522e+06 0
400 7.41955e+06 0
412 7.63098e+06 0
420 7.16063e+06 0
430 7.39986e+06 0
440 7.38017e+06 0
450 7.5296e+06 0
460 7.57362e+06 0
470 7.2956e+06 0
480 7.4601e+06 0
490 7.42998e+06 0
500 7.63501e+06 0
511 6.48936e+06 0
520 8.45516e+06 0
530 7.08477e+06 0
540 8.16324e+06 0
550 7.4879e+06 0
560 7.37901e+06 0
570 7.65471e+06 0
580 7.48906e+06 0
590 7.8192e+06 0
601 7.06508e+06 0
611 7.14501e+06 0
620 7.99064e+06 0
630 7.58057e+06 0
640 7.52033e+06 0
650 7.45314e+06 0
660 7.5991e+06 0
670 7.57825e+06 0
680 7.64428e+06 0
690 6.86584e+06 0
700 8.29183e+06 0
710 7.58984e+06 0
720 7.59215e+06 0
730 7.34194e+06 0
740 6.22872e+06 0
750 7.52844e+06 0
760 7.20756e+06 0
770 7.57709e+06 0
780 7.41492e+06 0
790 7.23073e+06 0
800 7.39407e+06 0
810 7.65818e+06 0
820 7.73348e+06 0
830 7.19482e+06 0
840 7.57941e+06 0
850 7.72769e+06 0
860 7.44156e+06 0
870 7.57246e+06 0
880 7.19135e+06 0
890 7.04886e+06 0
900 7.56898e+06 0
910 7.72189e+06 0
922 7.13634e+06 0
930 7.44559e+06 0
940 7.56551e+06 0
950 7.4265e+06 0
960 7.60258e+06 0
970 7.38712e+06 0
980 7.31298e+06 0
990 7.63965e+06 0
1001 7.02338e+06 0
1010 7.82152e+06 0
1020 7.56088e+06 0
1030 6.91796e+06 0
1040 6.51137e+06 0
1050 7.50064e+06 0
1060 7.52265e+06 0
1070 7.67324e+06 0
1080 7.52728e+06 0
1090 7.53771e+06 0
1100 7.64428e+06 0
1110 7.54813e+06 0
1120 7.58289e+06 0
1130 7.18556e+06 0
1140 7.63386e+06 0
1150 7.43924e+06 0
1160 7.39986e+06 0
1170 7.5018e+06 0
1180 7.50064e+06 0
1190 6.96662e+06 0
1200 7.21452e+06 0
1210 7.77170e+06 0
1220 7.48558e+06 0
1230 7.38248e+06 0
1240 7.59447e+06 0
1250 7.4404e+06 0
1260 7.84121e+06 0
1271 6.97125e+06 0
1280 8.26402e+06 0
1290 7.49716e+06 0
1300 7.51106e+06 0
1310 7.53887e+06 0
1320 7.64892e+06 0
1330 7.55161e+06 0
1341 6.7089e+06 0
1350 6.86639e+06 0
1362 7.41724e+06 0
1370 7.27707e+06 0
1380 7.57362e+06 0
1390 7.58057e+06 0
1400 7.36047e+06 0
1410 7.55972e+06 0
1420 7.43345e+06 0
1430 7.58057e+06 0
1440 7.65123e+06 0
1450 7.55045e+06 0
1460 7.72074e+06 0
1470 7.22262e+06 0
1480 6.7639e+06 0
1490 8.27561e+06 0
1500 7.49021e+06 0
1510 7.55393e+06 0
1521 7.29908e+06 0
1530 7.94894e+06 0
1540 7.44156e+06 0
1550 7.56435e+06 0
1560 7.35932e+06 0
1570 7.59679e+06 0
1580 7.51454e+06 0
1590 7.20398e+06 0
1600 7.4799e+06 0
1610 7.55972e+06 0
1620 7.62922e+06 0
1630 7.60142e+06 0
1640 7.94315e+06 0
1650 7.27707e+06 0
1660 7.4682e+06 0
1670 6.64922e+06 0
1680 8.42157e+06 0
1690 7.45662e+06 0
1700 7.62227e+06 0
1710 7.23512e+06 0
1720 7.63642e+06 0
1730 7.52033e+06 0
1740 7.53076e+06 0
1750 7.49832e+06 0
1760 7.474e+06 0
1770 7.65586e+06 0
1780 7.45083e+06 0
1790 1.71119e+07 0
