# TimeStamp(s) Sum Stdev
0 3.15201e+06 0
10 6.37583e+06 0
20 4.93594e+06 0
31 4.51776e+06 0
40 5.03788e+06 0
50 7.71378e+06 0
60 8.65672e+06 0
70 8.73897e+06 0
80 8.73665e+06 0
90 1.03781e+07 0
102 9.12588e+06 0
110 9.21044e+06 0
120 1.17624e+07 0
130 1.17705e+07 0
140 1.11647e+07 0
150 1.08623e+07 0
160 1.01024e+07 0
170 9.04826e+06 0
180 8.78183e+06 0
191 9.60198e+06 0
200 1.08681e+07 0
210 1.01511e+07 0
220 8.56637e+06 0
230 8.44358e+06 0
240 7.474e+06 0
250 6.91217e+06 0
260 7.73232e+06 0
271 7.91187e+06 0
280 8.06478e+06 0
290 8.3092e+06 0
300 8.33237e+06 0
310 8.64514e+06 0
320 8.68452e+06 0
330 8.8189e+06 0
341 8.78183e+06 0
350 7.90376e+06 0
360 8.97876e+06 0
370 8.81079e+06 0
380 9.87768e+06 0
390 1.03746e+07 0
400 1.00294e+07 0
410 9.76068e+06 0
420 7.48906e+06 0
430 6.22524e+06 0
440 6.43954e+06 0
450 7.14501e+06 0
460 7.91998e+06 0
470 9.20812e+06 0
480 8.7158e+06 0
490 1.0509e+07 0
500 9.2533e+06 0
510 9.14325e+06 0
520 8.87334e+06 0
530 9.26025e+06 0
541 1.0414e+07 0
550 8.64746e+06 0
560 8.43315e+06 0
570 7.69641e+06 0
580 6.61099e+06 0
590 7.12995e+06 0
600 8.68568e+06 0
610 8.95212e+06 0
620 9.19422e+06 0
630 8.3092e+06 0
640 7.64544e+06 0
650 7.90724e+06 0
660 6.89132e+06 0
670 6.3851e+06 0
680 7.10099e+06 0
690 7.09636e+06 0
700 6.05148e+06 0
710 5.55684e+06 0
720 6.99558e+06 0
730 6.03642e+06 0
740 5.90089e+06 0
750 6.9643e+06 0
760 7.4126e+06 0
770 9.24403e+06 0
780 8.95675e+06 0
790 8.87914e+06 0
800 8.72623e+06 0
810 8.78878e+06 0
820 8.72275e+06 0
830 8.80963e+06 0
840 8.91389e+06 0
850 1.04094e+07 0
860 9.30195e+06 0
870 8.98108e+06 0
880 8.7911e+06 0
890 8.52642e+06 0
900 8.95036e+06 0
910 7.79372e+06 0
921 7.11489e+06 0
930 7.79372e+06 0
940 7.9918e+06 0
950 8.16556e+06 0
960 8.5293e+06 0
970 9.79427e+06 0
980 9.36682e+06 0
990 8.74708e+06 0
1000 9.54637e+06 0
1010 7.87017e+06 0
1021 7.04307e+06 0
1030 7.00484e+06 0
1040 8.93010e+06 0
1050 9.77226e+06 0
1060 9.1641e+06 0
1070 9.19654e+06 0
1080 9.04942e+06 0
1090 8.8745e+06 0
1100 8.95327e+06 0
1110 8.92316e+06 0
1120 8.92663e+06 0
1130 9.01814e+06 0
1141 8.78646e+06 0
1150 8.32426e+06 0
1160 8.9359e+06 0
1170 8.57911e+06 0
1180 7.7439e+06 0
1190 8.99382e+06 0
1200 9.33554e+06 0
1210 9.19074e+06 0
1220 9.178e+06 0
1230 9.20465e+06 0
1240 8.88261e+06 0
1250 8.87914e+06 0
1261 8.69842e+06 0
1271 9.01351e+06 0
1280 7.79603e+06 0
1290 7.45314e+06 0
1300 8.64514e+06 0
1310 8.38102e+06 0
1320 8.56753e+06 0
1330 8.27793e+06 0
1340 8.54204e+06 0
1350 8.65672e+06 0
1360 8.25128e+06 0
1370 7.45778e+06 0
1380 7.44156e+06 0
1390 7.81109e+06 0
1400 8.45748e+06 0
1410 9.44907e+06 0
1420 8.68105e+06 0
1430 8.01613e+06 0
1440 8.39145e+06 0
1450 8.28372e+06 0
1460 7.26085e+06 0
1470 7.38596e+06 0
1480 7.21336e+06 0
1490 6.23798e+06 0
1501 6.52527e+06 0
1510 6.58087e+06 0
1520 6.37699e+06 0
1530 5.84992e+06 0
1540 4.87339e+06 0
1550 4.33126e+06 0
1560 4.63592e+06 0
1570 5.97271e+06 0
1580 6.53106e+06 0
1590 7.43229e+06 0
1600 7.37785e+06 0
1610 7.35236e+06 0
1620 7.62459e+06 0
1630 7.98022e+06 0
1640 7.9779e+06 0
1650 8.4123e+06 0
1660 8.315e+06 0
1670 8.59996e+06 0
1680 8.37871e+06 0
1690 8.31384e+06 0
1701 7.73e+06 0
1710 7.04307e+06 0
1720 8.4818e+06 0
1730 7.90724e+06 0
1741 8.58258e+06 0
1750 9.29268e+06 0
1760 8.9915e+06 0
1770 9.12008e+06 0
1780 1.1796e+07 0
